### DEV ###

Starter|eevee,delta-bulbasaur,delta-charmander,delta-squirtle
--Telnor Town|d1_e|rival|Damian
Vipik City|togepi,sneasel,delta-wooper
--Vipik Gym|2_e|gym-leader|Xavier

Vipik Dump|grimer,gulpin,stunky,venipede,trubbish
Crossroads|growlithe,weepinbell,slowpoke,ditto,dunsparce,qwilfish,electrike,kecleon,piplup,stunky,fennekin,fletchling,clauncher
Misty Way|psyduck,horsea,gyarados,quagsire,girafarig,wailmer,wailord,swablu,altaria,corphish,castform,spheal,mime-jr.,lumineon,palpitoad,frillish
Mist Island|psyduck,horsea,gyarados,wailmer,wailord,corphish,spheal,latias,lumineon,palpitoad,frillish
Route 5|seadra,dragonair,croconaw,lanturn,roselia,prinplup,luxray,glameow,servine,cottonee,floette
Samsara Cave|machoke,geodude,graveler,marowak,gyarados,quagsire,qwilfish,shuckle,pupitar,nosepass,lunatone,solrock,gastrodon,riolu,roggenrola,boldore,palpitoad,seismitoad,dwebble,meloetta,carbink,delta-pidgey
Koril Town|squirtle,tentacruel,cloyster,kingler,starmie,magikarp,lanturn,qwilfish,corsola,whiscash
Scientists Club|omanyte,kabutops,lileep,archen
Rezzai Desert|vibrava,hippopotas,krokorok,landorus
Rezzai Cavern|dugtrio,geodude,graveler,onix,marowak,gyarados,quagsire,qwilfish,shuckle,nosepass,regirock,gastrodon,roggenrola,boldore,palpitoad,seismitoad,dwebble,axew,carbink
--Rezzai Cavern|d3_e|rival|Damian
Roggan Town|larvesta,delta-emolga
Torren Game Corner|clefairy,abra,scyther,pinsir,eevee,porygon,chikorita,mareep,heracross,smoochum,bagon,starly,solosis,goomy
Route 6|farfetchd,dewgong,seaking,magikarp,lapras,lanturn,qwilfish,plusle,minun,milotic,pachirisu,swanna,emolga,gogoat
Route 7|dewgong,seaking,magikarp,lapras,lanturn,qwilfish,skitty,milotic,chimecho,chatot,stoutland,swanna,phantump,pumpkaboo
Helios Sewers|geodude,grimer,koffing,shuckle,nosepass,gulpin,stunky,roggenrola,dwebble,yamask,trubbish,foongus,carbink,delta-heatmor

Helios City|smeargle,barboach,wynaut,bonsly,delta-lotad
--Perfection Base|perf1_e|evil-team|Taen
--Jade Tower|3_e|gym-leader|East

--Jade Tower|j1_e|evil-team|Jaern
Cave of Steam|tentacruel,geodude,marowak,rhyhorn,starmie,magikarp,gyarados,lapras,croconaw,lanturn,shuckle,slugma,magcargo,remoraid,octillery,swampert,nosepass,torkoal,roggenrola,gigalith,dwebble,druddigon,heatmor,carbink,volcanion
Utira Town|slugma,corsola,remoraid,octillery,barboach,whiscash,corphish,gastrodon,finneon,lumineon,drilbur,swanna
--Utira Town|d4_e|rival|Damian
--Utira Town|n3_e|rival|Nora
Utira Library|gengar,banette,dusclops,mismagius,litwick,delta-budew
--Utira Library|ancm_e|mini-boss|Ancient Oracle
Route 8|wigglytuff,rapidash,chansey,kangaskhan,snorlax,lanturn,corsola,remoraid,octillery,houndoom,barboach,whiscash,corphish,gastrodon,finneon,lumineon,swanna,spritzee,slurpuff,delta-munchlax
Miara Town|machoke,tentacruel,haunter,lanturn,sunkern,slugma,corsola,remoraid,octillery,mantine,wailmer,barboach,whiscash,tropius,finneon,lumineon,delta-koffing
Trade Outpost|delta-axew
Miara Archaeological Site|geodude,shuckle,nosepass,roggenrola,dwebble,carbink
Stormy Seas|tentacruel,magikarp,gyarados,lanturn,quagsire,qwilfish,wingull,sharpedo,wailmer,corphish,feebas,huntail,gorebyss,swanna
Whirl Islands|tentacruel,geodude,golem,kingler,magikarp,gyarados,lanturn,qwilfish,shuckle,lugia,wingull,nosepass,lairon,sharpedo,wailmer,crawdaunt,feebas,glalie,sealeo,huntail,gorebyss,relicanth,roggenrola,gigalith,dwebble,swanna,cryogonal,carbink,delta-clamperl
--Whirl Islands|abys1_e|evil-team|Audrey
Route 9|raticate,ninetales,primeape,tentacruel,magikarp,gyarados,lanturn,qwilfish,treecko,mudkip,wingull,loudred,sharpedo,wailmer,feebas,huntail,gorebyss,swanna,honedge,hawlucha,klefki,delta-combee
Sonata Tracks|zebstrika
Sonata Hills|tentacruel,magikarp,gyarados,lanturn,qwilfish,wingull,sharpedo,wailmer,feebas,huntail,gorebyss,swanna,delta-litwick
Sonata City|tentacruel,magikarp,gyarados,cyndaquil,lanturn,qwilfish,wingull,sharpedo,feebas,huntail,gorebyss,swanna
--Sonata Gym|4_e|gym-leader|Harmony

Route 10|tentacruel,magikarp,gyarados,lanturn,azumarill,politoed,qwilfish,phanpy,wingull,breloom,sharpedo,wailmer,feebas,huntail,gorebyss,turtwig,empoleon,carnivine,maractus,swanna,chespin,honedge
Maelstrom 9|tentacruel,cloyster,seaking,magikarp,gyarados,lanturn,kingdra,wingull,carvanha,sharpedo,wailmer,feebas,huntail,gorebyss,relicanth,floatzel
Lush Island|delta-dunsparce
Kepler City|tentacruel,magikarp,gyarados,lanturn,qwilfish,wingull,sharpedo,wailmer,feebas,huntail,gorebyss,beldum,swanna
--Abyssal Base|abys2_e|evil-team|Audrey
--Kepler Gym|5_e|gym-leader|Anastasia

--Kepler Lab|perf2_e|evil-team|Taen
Route 11|tentacruel,scyther,magikarp,gyarados,lanturn,qwilfish,miltank,sceptile,wingull,sharpedo,wailmer,feebas,tropius,wynaut,huntail,gorebyss,yanmega,swanna,klink
Nasca Town|bulbasaur,charmander,squirtle,tentacruel,cloyster,magikarp,gyarados,lanturn,sudowoodo,qwilfish,shuckle,kingdra,wingull,sharpedo,wailmer,lunatone,solrock,feebas,huntail,gorebyss,relicanth,rampardos,crustle,swanna,carbink
Power Farm|delta-pawniard
Safari Zone|sandslash,dugtrio,kingler,marowak,magikarp,gyarados,flareon,omastar,feraligatr,chinchou,lanturn,girafarig,qwilfish,corsola,delibird,kingdra,donphan,sceptile,flygon,claydol,cradily,feebas,huntail,gorebyss,purugly,hippowdon,drapion,weavile,yanmega,zebstrika,excadrill,audino,leavanny,krookodile,swanna,amoonguss,eelektross,golurk,heatmor,deino,thundurus,diggersby
Nasca Cave|tentacruel,magikarp,gyarados,lanturn,sudowoodo,qwilfish,shuckle,wingull,sharpedo,wailmer,lunatone,solrock,feebas,huntail,gorebyss,rampardos,crustle,swanna,carbink
Murk Forest|beedrill,butterfree,vileplume,venomoth,tentacruel,magikarp,gyarados,ariados,lanturn,qwilfish,wingull,sableye,volbeat,illumise,sharpedo,wailmer,feebas,absol,huntail,gorebyss,chimchar,honchkrow,scraggy,swanna,joltik,keldeo,froakie,delta-scraggy,delta-shinx,delta-metang-spider
Hekate Town|tentacruel,haunter,magikarp,gyarados,lanturn,qwilfish,wingull,sharpedo,wailmer,feebas,huntail,gorebyss,munchlax,cresselia,swanna
Fiery Caverns|dugtrio,tentacruel,magmar,magikarp,gyarados,lanturn,qwilfish,magcargo,wingull,sharpedo,wailmer,camerupt,torkoal,feebas,huntail,gorebyss,simisear,darmanitan,swanna,delta-snorunt,heatran
--Fiery Caverns|inf1_e|evil-team|Zenith
Route 12|tentacruel,hitmonlee,hitmonchan,magikarp,gyarados,lanturn,qwilfish,hitmontop,wingull,vigoroth,sharpedo,wailmer,spinda,cacturne,feebas,huntail,gorebyss,tangrowth,cresselia,stoutland,swanna,florges
Selene City|tentacruel,magikarp,gyarados,lanturn,qwilfish,pupitar,wingull,sharpedo,wailmer,feebas,huntail,gorebyss,cresselia,manaphy,swanna,delta-liepard
--Selene City|dark1_e|evil-team|Persephone
Mysterious Hideaway|jumpluff,sigilyph,vivillon,florges,noivern
Ancient Tower|golbat,ho-oh,mawile,claydol,banette,lucario,sigilyph,fraxure,mienfoo,delta-noibat
--Selene Gym|6_e|gym-leader|Diana

Route 13|parasect,tentacruel,magikarp,gyarados,lanturn,flaaffy,bellossom,qwilfish,linoone,dustox,wingull,sharpedo,wailmer,feebas,huntail,gorebyss,cresselia,swanna,sawsbuck
Dragon Ruins|charizard,magikarp,gyarados,feraligatr,chinchou,lanturn,qwilfish,corsola,sceptile,cradily,feebas,huntail,gorebyss,cresselia,swanna,golurk,reshiram,zekrom,zygarde,delta-bergmite
--Dragon Ruins|perf3_e|evil-team|Taen
Route 14|bulbasaur,hypno,horsea,seaking,lanturn,girafarig,sneasel,octillery,plusle,minun,sharpedo,wailmer,huntail,gorebyss,luvdisc,vespiquen,pachirisu,finneon,mantyke,cresselia,dewott,simipour,tympole,basculin,scraggy,swanna,jellicent,meowstic,barbaracle,dedenne
Oranos Town|dewgong,horsea,seadra,magikarp,gyarados,dratini,dragonair,corsola,sharpedo,barboach,floatzel,gible,cresselia,swanna,binacle
--Oranos Town|medm_e|mini-boss|Medium A. Williams
Route 15|fearow,poliwag,seaking,staryu,gyarados,shuckle,corsola,octillery,manectric,sharpedo,zangoose,lunatone,solrock,corphish,crawdaunt,cradily,armaldo,absol,empoleon,togekiss,gigalith,darumaka,carracosta,zorua,swanna,alomomola,ferroseed,ferrothorn,druddigon,honedge,clawitzer,noibat,noivern
Satellite Corps|genesect,delta-cyndaquil
Crystal Caves|tentacool,kingler,goldeen,staryu,starmie,gyarados,lapras,mew,slowking,corsola,remoraid,sableye,grumpig,relicanth,mismagius,victini,gigalith,palpitoad,druddigon,clauncher,carbink,diancie
Slither Forest|arbok,seviper,delta-deino
Amphitrite City|kingler,seadra,dratini,octillery,sharpedo,wailord,clamperl,huntail,relicanth,empoleon,budew,lumineon,palpitoad,carracosta,swanna,barbaracle,noibat,delta-shuckle
--Amphitrite Gym|7_e|gym-leader|Calreath

Mt. Rose Base|granbull,heracross,stantler,sceptile,ninjask,shedinja,escavalier,accelgor,chesnaught,politoed,corsola,swanna,kingler,barbaracle,tentacool,whiscash,frillish,slowbro,dewgong,wailmer,barboach,alomomola
--Perfection Base|perf4_e|evil-team|Taen
Mount Rose|dunsparce,granbull,scizor,heracross,ninjask,shedinja,wormadam,leavanny,escavalier,accelgor,poliwrath,politoed,pelipper,swanna,kingler,barbaracle,tentacool,whiscash,frillish,slowbro,dewgong,wailmer,barboach,alomomola,spritzee,slurpuff,delta-phantump,golem,ursaring,sableye,aggron,claydol,gigalith,starmie,quagsire,nidoqueen,arcanine,clefable,charmander,doduo,swablu,deino,steelix,glalie,excadrill,beartic,jirachi
Deyraan Town|dewgong,walrein,glaceon,zorua,delta-misdreavus
Rose Crater|flareon,magcargo,houndoom,torchic,camerupt,emboar,darmanitan
--Infernal Base|inf2_e|evil-team|Zenith
Deyraan Cave|kingler,seadra,starmie,lapras,dragonair,chinchou,quagsire,qwilfish,wailord,glalie,clamperl,luvdisc,abomasnow,mamoswine,gigalith,basculin,vanilluxe,avalugg
Route 16|poliwag,drowzee,kingler,lickitung,horsea,furret,azumarill,remoraid,mantine,altaria,crawdaunt,feebas,huntail,luvdisc,honchkrow,chatot,palpitoad,seismitoad,carracosta,emolga,floette,pangoro,doublade,malamar,binacle,heliolisk,delta-girafarig
Narra Town|venusaur,kingler,kangaskhan,pinsir,furret,ledian,azumarill,heracross,corsola,barboach,crawdaunt,clamperl,huntail,relicanth,palpitoad,carracosta,alomomola,heliolisk,delta-growlithe
Narra Border|kingler,omastar,kabutops,corsola,swampert,barboach,crawdaunt,cradily,armaldo,clamperl,huntail,relicanth,rampardos,palpitoad,crustle,carracosta,alomomola,tyrantrum,aurorus
Prion Town|delta-doduo
--Prion Town|dark2_e|evil-team|Persephone
Cortisol Road|clefable,ninetales,drowzee,munna,musharna,zorua,delta-chinchou
--Cortisol Road|d5_e|rival|Damian
Cerebrum Town|delta-yamask
REM Ocean|gengar,hypno,magikarp,grumpig,drifblim,bronzong,musharna,gothitelle,jellicent
Erebus City|magby,shaymin,druddigon,delta-bulbasaur,delta-charmander,delta-squirtle
--Erebus Gym|8_e|gym-leader|Adam

--Crystal Caves|j2_e|evil-team|Jaern
Void Gauntlet|beedrill,butterfree,raticate,rattata,sandslash,zubat,golbat,paras,growlithe,graveler,grimer,gastly,haunter,cubone,koffing,weezing,moltres,hoothoot,ledyba,pineco,steelix,donphan,pupitar,shroomish,lairon,kricketot,rhyperior,dialga,palkia,petilil,durant,zygarde
Throne of the Hegemon|giratina,arceus
--Throne of the Hegemon|nyx_e|evil-team|Nyx
Nexa Border|poliwhirl,slowpoke,horsea,goldeen,swampert,gardevoir,wailord,whiscash,luvdisc,salamence,torterra,empoleon,mantyke,gallade,hydreigon,greninja,aegislash,clauncher,clawitzer,goodra
Nexa Town|blastoise,poliwhirl,slowpoke,kingler,horsea,goldeen,azumarill,ludicolo,wailord,whiscash,crawdaunt,luvdisc,mantyke,clauncher,clawitzer
Victory Road|blastoise,charizard,machamp,slowbro,kingler,electrode,goldeen,jynx,dragonite,azumarill,remoraid,octillery,tyranitar,ludicolo,slaking,aggron,sharpedo,wailord,crawdaunt,feebas,absol,glalie,salamence,regice,finneon,lumineon,abomasnow,weavile,glaceon,dusknoir,serperior,excadrill,darmanitan,carracosta,cryogonal,volcarona,virizion,tornadus,kyurem,talonflame,clawitzer,hawlucha,goodra,avalugg,delta-petilil-water
--Pokémon League|e1_e|elite-four|Kayla
--Pokémon League|e2_e|elite-four|Eduard
--Pokémon League|e3_e|elite-four|Yuki
--Pokémon League|e4_e|elite-four|London
--Pokémon League Champion|ec_e|elite-four|Reukra
